行标签,计数项:worker
38,1
64,1
92,1
93,1
100,1
101,1
103,1
104,1
106,1
108,1
105,2
109,2
82,3
98,3
46,4
86,4
87,4
96,4
33,5
78,5
74,6
79,6
91,6
95,6
107,6
75,7
83,7
97,7
71,8
99,9
102,9
68,10
89,10
18,11
80,11
81,12
84,13
85,16
32,17
67,17
77,20
57,21
70,21
94,21
24,22
88,22
48,24
72,25
76,27
69,28
90,28
65,32
49,34
52,37
7,38
26,38
59,38
44,45
4,47
62,49
66,53
73,55
63,59
30,60
45,61
60,61
51,66
6,67
27,68
36,73
19,86
8,87
14,89
50,90
15,92
54,93
42,94
11,95
17,98
56,102
61,108
29,109
2,111
39,115
53,116
5,128
55,132
58,133
12,136
47,143
10,146
28,151
41,151
37,154
23,162
1,164
21,168
25,169
40,202
22,204
43,262
34,265
31,291
20,294
9,319
35,325
3,330
16,331
13,345
总计,8070
