工人标签,计数项:worker
A10BKZYB8WVM9B,20
A11Z433NFKM28M,20
A16LTR3HF70L05,20
A17CPBFRBWYE0R,20
A1DXFMUVK5015A,20
A1PX6YSKCOXNZ8,20
A1QN51QK2KH8MR,20
A2C93DG4LJ0UIM,20
A2FCCX7X5TVB9C,20
A2HHWFGVV9UUC5,20
A2IJELYFUOI5T2,20
A37BOK8JXXYMRS,20
A3ABAWFXV1DGX,20
A3EUG69TEKHXRU,20
A3NH3VJF04DBJX,20
A3SS68X79SUJ0V,20
AB7QN439WP6RY,20
AMJ9X1MIE8CZ5,20
AN3TTXE4A29FI,20
ANHAQ8Q7ZH72E,20
ASXM3V38FLUB8,20
AYAD78AI5KL0T,20
A11UXN488YXXO,40
A1CO9E7XI2CSDA,40
A1GON75HGVWTMC,40
A1I43J7QNQAVRM,40
A1KIBD7YIBPRED,40
A1L09AVOUS47FK,40
A1LWNCUCQYFBFR,40
A23KNYW5XJ9FKD,40
A2H1SXWWSQBT3D,40
A2H8UCYS4VV138,40
A3HJNOCKXFOOVP,40
A3R7A6AUGQLEH9,40
A3S6OV9V7VWYNS,40
A6NCRR6O0HB2V,40
A881B8OX0B3BU,40
AH8FV7DVN4VHT,40
AZJYQJOIQSZ8H,40
A1FWIP27M5BL8L,60
A2GO4IMROKOO2Q,60
A2HR7ZIX42FEPG,60
A3IFHW1AJNSQM3,60
ANPZ6FB1GSXL5,60
A1TMIL6ZSR5EOO,80
A29MM3QH9J9AI5,80
A11MPIAKPRMF9T,100
A36R7L9ZP595YT,100
A3871E2A67AEWA,100
A3ELLEKJ287JZZ,100
AY52II1OC5RZ1,100
A28HCCZ4I9R8LL,140
A1CO7S8BZUQROB,180
A33JTNFF3S1HGM,180
A1RFFFC4YSNLX9,200
A3G6T12CCLQ5YU,200
A2MH3BPMSRX0C6,220
AGV5848LC2IXX,220
A3TBGB7VGRRYCT,240
ANS32KK8E96UK,240
A2DIM099APN6L7,260
A2WDPK69XZC9H,260
APHOPRAFUG98Q,260
A396BEA7NCTDEW,300
AJMWTFJTL8RLM,400
A1P02JFXRXG5V,420
A1WVLU0KTI9GYB,440
A382SL9ROIY1P6,500
A3PHU29FNBH1NW,520
A38EIJ4VOJH3YO,540
A3VVBTVOIYLJVC,540
A1MYBMOZH043LK,560
A2J74WQXWG5M9W,600
A3KWQVFAS7MXE0,660
A2ZPPP0XVV8C0W,680
A25WL7E75KK134,700
A2HVUJSA0VSK4D,840
A1SRI5PDX6WB9B,860
A26UOQCTO9VDZO,880
A2BIB960QFJWZD,920
A3Q1351EOKQ4DH,960
A2PEL01IY4YBLJ,1000
AKEHW5BOBEBFS,1000
AMKWR51EXOPA4,1000
AZ311BQ3SX1G0,1000
总计,20000
(空白),
